commit_sha,repo_removed,repo_kept,language,cluster_size,stars_removed,stars_kept
18b9d5b48a6f28f6a0cd4bd9b00919de80463beb,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
3ca1e50b19b17ee7b7d6b7d254dc15ce671f12ae,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a7fd46525597cf1ae2193cf19f705937222f70e7,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
dd3baf3fa718ed82f7b394cb0c12db3ac3e092fa,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e60d40049418abce58e42befc268d5bb84a1585a,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
248bc08152cf9f792d98c8c78f8fb1417b1bb3b3,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
bdc398c977da9738ef6e7fc2beadc0df270f17fc,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
2cb658c87650a7cbdae54dbeae1cee6bf382d9e0,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
a5c936553d1b9d09582222ab8426febe7862b994,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
8c569c6232588594e7a48219bbd020955f5fd5a4,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
bbb23633756645d53350490a5239959874d584a9,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
d4177ce1ba23e67cfe8cbc6a181ac6b2c510d1e9,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
3d7992e6ac69c6572449b1c1f74354cfdeeaa1ad,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
8cf8c61efb9fd99892bcb250db12d7052b5fef08,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
48c4ff00483e9346c9fe6dcb981009b081c0a204,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
204f90a39000e54a9387eb45b54b2a6d894d8dcd,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
88519f9d0c3caf9a008a228c31568010477d80c6,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
2047a32cf78886b71b794a3dfac946a146ab3ffe,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
98c9afe2e3bb6cbed6d56d8ad781d50e9a604926,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
e3fce14228f6e064d5d7408508107774fa38c296,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
0e055d39c51dda77717515adb1a33610d385a724,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f224ce2009b6844a606eb53a71fb114434e8a7a0,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
c4e4681d9d5c80ba0c0ed78aae8fbbb8593a33dd,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
b9dcdd8f6abf4d7e07bd2daebb83b99228a9dea4,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
f7ce796a4768d7f84d228216858b66008f1cbd54,cloudflare/wrangler2,cloudflare/workers-sdk,javascript,2,645,4395
